ASV_ID	P16609_1001	P16609_1002	P16609_1003	P16609_1004	P16609_1005	P16609_1006	P16609_1007	P16609_1008	P16609_1009
3fd1a6848a322176250c7db199de0027	0	63	0	41	57	0	0	0	8
ee122e30d71a3ccff6d4759e0d49a00c	0	0	0	0	0	0	0	0	0
e38ec8f50353678de13302e05a91e4e4	21	33	29	23	38	29	26	107	86
6204a85224078accff0f0a75eaac4e36	0	0	0	0	0	0	0	0	0
3b2c5d7aeac48603547e175b11df77ed	22	25	34	0	18	0	0	14	0
892f08c9bf7a3c908f80d7500889f093	0	0	0	0	0	0	0	0	0
9c2daf483a574f6ee9b234624c6eb973	0	0	0	0	0	5	0	18	4
4f8285827d64ed44a3a48f09c8deb2fb	0	0	0	0	0	0	0	0	0
d95a3b784d497268099d73a2bacaa1e9	37	52	44	35	58	26	0	0	0
1424204d0b3becbb64ef0b61abb46473	0	0	0	0	0	0	0	0	0
e7b8aac6c0b9f8698e394fbab13ed0e9	0	45	38	0	44	0	0	0	0
221c5ee745d0487af1a76d8134938be1	4	7	4	19	6	7	17	59	14
48aa8923b2ddf156ee37f66783fda41a	0	0	0	0	0	0	0	0	3
7d0479a92311f34135a429ab1f2e0d35	84	106	100	47	65	50	2	0	17
a93702ea2d903ee3e92b78f984baae2b	13	0	20	14	36	16	0	29	15
b98d0de214f7b51c523e103d07226867	1	3	1	4	1	3	1	12	6
46af7fdbd4e481368de9cd166bb42cab	0	0	0	0	0	0	0	0	0
440a54413c3e90eb866f8d72e3439d15	19	37	23	17	0	8	3	11	0
6a2bef07469900630b35043e2c1b78ec	23	28	30	16	40	27	2	8	11
5b14d8715d9fa718b89ce433471e2a4e	0	0	0	0	0	0	0	0	0
db2ece2c379fc6aaf9f909615a34be36	76	17	0	141	341	138	0	0	10
4d30a46b1b7c0207150fd9a455d78481	30	40	27	31	42	25	14	16	23
ff4df9a79989909cf1d55861b8ee7374	31	55	45	27	42	22	53	10	182
ebd8a7462368cb7bcc691c612348cbc2	0	0	0	0	0	0	0	0	0
a1dd4e89d49a717d3b1c89f205d202ac	50	59	61	26	68	32	0	0	20
e86bf50d7c7ff0761f5b5fd12c0a0b6b	46	70	49	16	72	27	0	0	0
87fec2cdcb982f0df36d8dc6f3f6a667	0	0	0	0	0	0	0	0	0
23d5e3c102fac490f25e3a7686e279e0	0	0	0	0	0	0	0	0	0
62793b1ba40feafe3337e84440c6c634	20	31	34	0	28	0	0	0	0
756aa3653b52c6a3dc11d90088e1b3ba	0	84	56	0	66	47	0	122	106
c75beca304fb219adbda52e4be4c4528	85	77	75	39	45	50	0	0	0
ef5bc3c567f1ecec5e0742f33b5111b9	0	0	0	0	0	0	0	0	0
4285a26d19be7b69ed8d2cc349fb1a8d	14	20	13	7	23	5	6	4	26
e0d3aef2c75c6ec7e96301c8e69ab9fa	0	0	0	0	0	0	0	0	0
37bd84c3149391c6718f2ce6ffba1ef1	0	9	9	0	19	9	11	17	18
7f49a22c83390bb1be6bfd0708aa6960	0	0	0	0	0	0	0	0	0
e81e42b8e9e050bb87b7117f42dbf049	13	22	24	0	33	19	6	6	8
3f7b4753c8b74702c23f426bf950f54c	0	0	0	0	0	0	0	50	0
1a9233b37851d75c366e597e4658eec1	0	0	6	0	0	0	0	0	0
